종목코드,시장구분,종목명,산업분류,시가총액(원),PER,PBR,배당수익률,ROE,X
X067310,코스닥,하나마이크론,IT H/W,130542175940,80.32,0.86,1.19,0.010707171314741,
X003350,코스피,한국화장품제조,화학,130521600000,31.48,2.6,0.35,0.082592121982211,
X037950,코스닥,엘컴텍,IT H/W,130471416855,39.62,1.73,1.94,0.043664815749621,
X006220,코스피,제주은행,금융업,130442822440,3.79,0.28,2.46,0.073878627968338,
X102280,코스피,쌍방울,섬유의복,130415455130,NA,0.64,0,NA,
X123690,코스피,한국화장품,유통업,130150800000,NA,2.47,0,NA,
X027740,코스피,마니커,음식료품,130105999674,NA,1.27,0,NA,
X108490,코스닥,로보티즈,IT S/W & SVC,129949050000,47.93,2.11,0,0.044022532860421,
X034590,코스피,인천도시가스,전기가스업,129930193800,7.59,0.72,4.21,0.094861660079051,
X048870,코스닥,시너지이노베이션,의료·정밀기기,129616206440,NA,2.17,0,NA,
X004870,코스피,티웨이홀딩스,전기전자,129590644950,4.91,0.69,0,0.140529531568228,
X007210,코스피,벽산,비금속광물,129578400000,13.9,0.55,0.79,0.039568345323741,
X038880,코스닥,아이에이,IT H/W,129399662616,NA,2.88,0,NA,
X312610,코스닥,에이에프더블류,일반전기전자,129137661000,11.71,4.75,0.78,0.405636208368915,
X093920,코스닥,서원인텍,IT H/W,129084000000,26.69,0.84,4.32,0.031472461596103,
X130580,코스닥,나이스디앤비,기타서비스,129052000000,13.87,2.86,1.79,0.20620043258832,
X007680,코스닥,대원,건설,128732500000,4.28,0.47,2.15,0.10981308411215,
X100090,코스닥,삼강엠앤티,금속,128661146320,NA,0.82,0,NA,
X013520,코스피,화승알앤에이,운수장비,128476807900,NA,0.59,1.26,NA,
X100590,코스닥,머큐리,일반전기전자,128443320000,7.82,1.89,0,0.241687979539642,
X137950,코스닥,제이씨케미칼,화학,128369858040,25.8,1.57,1.04,0.060852713178295,
X033110,코스닥,코너스톤네트웍스,의료·정밀기기,128301700775,NA,3.58,0,NA,
X108380,코스닥,대양전기공업,운송장비·부품,127723895550,9.89,0.65,0,0.06572295247725,
X044820,코스피,코스맥스비티아이,금융업,126771757200,13.28,0.42,1.06,0.031626506024096,
X131030,코스닥,디에이치피코리아,제약,126720697050,12.48,1.34,1.31,0.107371794871795,
X267290,코스피,경동도시가스,전기가스업,126653141550,3.71,0.4,3.26,0.107816711590297,
X106240,코스닥,파인테크닉스,IT H/W,126602187900,NA,2.39,0,NA,
X037070,코스닥,파세코,일반전기전자,126140000000,26.5,1.8,2.22,0.067924528301887,
X222080,코스닥,씨아이에스,기계·장비,126018056750,NA,3.33,0,NA,
X016710,코스피,대성홀딩스,서비스업,125658674790,6.43,0.3,3.2,0.046656298600311,
X222040,코스닥,코스맥스엔비티,음식료·담배,125418240000,16.48,1.38,1.83,0.08373786407767,
X011370,코스닥,서한,건설,125109632600,2.97,0.42,3.23,0.141414141414141,
X083640,코스닥,인콘,IT H/W,124969789350,NA,2.05,0,NA,
X241710,코스닥,코스메카코리아,화학,124956000000,13.93,1,0.85,0.071787508973439,
